scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Craugastor talamancae,2025-08-23 21:49:00 -0500,,"Punta Laurel, Bocas del Toro Province, Panama",9.1760621642,-82.0966638724,,Almirante Robber Frog,https://www.inaturalist.org/observations/311268666,https://inaturalist-open-data.s3.amazonaws.com/photos/561884477/medium.jpg,arnaud_aury,311268666,Craugastor talamancae,Amphibia,65304,1,0,2025/08/23 21:49,2025-08-23,2025-08-24 02:49:00 UTC,America/Panama,157,157,,open,false,,,3737765,Arnaud Aury,2025-09-03 15:40:32 UTC,2025-09-06 22:45:54 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2025-08-23 23:27:00 -0500,,"Punta Laurel, Bocas del Toro Province, Panama",9.1760627263,-82.0966638721,,Almirante Robber Frog,https://www.inaturalist.org/observations/311268657,https://inaturalist-open-data.s3.amazonaws.com/photos/561882708/medium.jpg,arnaud_aury,311268657,Craugastor talamancae,Amphibia,65304,1,0,2025/08/23 23:27,2025-08-23,2025-08-24 04:27:00 UTC,America/Panama,70,70,,open,false,,,3737765,Arnaud Aury,2025-09-03 15:40:31 UTC,2025-09-06 22:45:55 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2025-08-13 22:00:00 -0500,,Panama,9.2911287468,-78.9832758749,,Almirante Robber Frog,https://www.inaturalist.org/observations/310293217,https://inaturalist-open-data.s3.amazonaws.com/photos/559999437/medium.jpg,arnaud_aury,310293217,Craugastor talamancae,Amphibia,65304,1,0,2025/08/13 22:00,2025-08-13,2025-08-14 03:00:00 UTC,America/Panama,61,61,,open,false,,,3737765,Arnaud Aury,2025-08-30 20:08:37 UTC,2025-09-02 16:55:07 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2025-08-13 22:15:00 -0500,,Panama,9.290069937,-78.9836191976,,Almirante Robber Frog,https://www.inaturalist.org/observations/310293214,https://inaturalist-open-data.s3.amazonaws.com/photos/559999387/medium.jpg,arnaud_aury,310293214,Craugastor talamancae,Amphibia,65304,1,0,2025/08/13 22:15,2025-08-13,2025-08-14 03:15:00 UTC,America/Panama,61,61,,open,false,,,3737765,Arnaud Aury,2025-08-30 20:08:37 UTC,2025-09-02 16:55:10 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2025-07-26 00:00:00 -0600,,Refugio Lapa Verde,10.4520513024,-84.058281742,,Almirante Robber Frog,https://www.inaturalist.org/observations/302143221,https://static.inaturalist.org/photos/544507605/medium.jpg,jeffersom_03,302143221,Almirante Robber Frog,Amphibia,65304,1,0,2025-07-26,2025-07-26,,America/Costa_Rica,207,207,,open,false,gps,gps,6674627,Jeffersom Porras Agüero,2025-07-29 17:42:50 UTC,2025-07-30 00:48:35 UTC,research,,NA,2,false
Craugastor talamancae,2024-02-04 19:35:23 -0600,,"Str, Sarapiqui, Heredia, CR",10.43037,-84.0064472167,,Almirante Robber Frog,https://www.inaturalist.org/observations/299406115,https://inaturalist-open-data.s3.amazonaws.com/photos/539400889/medium.jpg,kywvnaturalist,299406115,Almirante Robber Frog,Amphibia,65304,1,0,2024-02-04 19:35:23,2024-02-04,2024-02-05 01:35:23 UTC,America/Costa_Rica,4,4,,open,false,,,5395247,Alan Temple,2025-07-20 03:44:18 UTC,2025-07-22 15:50:17 UTC,research,CC-BY-NC,NA,843,false
Craugastor talamancae,2025-03-06 03:28:00 -0600,,"Limón Province, Manzanillo, Costa Rica",9.629838,-82.6577963,,Almirante Robber Frog,https://www.inaturalist.org/observations/282701096,https://static.inaturalist.org/photos/507919048/medium.jpg,sina_stauder,282701096,Craugastor talamancae,Amphibia,65304,1,0,2025/03/06 03:28,2025-03-06,2025-03-06 09:28:00 UTC,America/Costa_Rica,1354,1354,,open,false,,,3870547,Sina Stauder,2025-05-20 18:54:40 UTC,2025-05-24 11:51:22 UTC,research,,NA,NA,false
Craugastor talamancae,2024-06-29 21:17:00 -0600,,"Limón, Talamanca, Costa Rica",9.6370430298,-82.7888112883,,Almirante Robber Frog,https://www.inaturalist.org/observations/280276385,https://static.inaturalist.org/photos/503362605/medium.jpeg,sarafc,280276385,Craugastor talamancae,Amphibia,65304,1,0,2024/06/29 9:17 PM,2024-06-29,2024-06-30 03:17:00 UTC,America/Costa_Rica,909,909,,open,false,,,2785527,,2025-05-11 16:54:37 UTC,2025-05-22 19:12:14 UTC,research,,NA,NA,false
Craugastor talamancae,2025-04-22 20:43:50 -0600,,"Cahuita, Limón Province, Talamanca, Costa Rica",9.6382277169,-82.7968150377,,Almirante Robber Frog,https://www.inaturalist.org/observations/272824313,https://static.inaturalist.org/photos/490838777/medium.jpeg,esadm,272824313,Almirante Robber Frog,Amphibia,65304,1,0,2025-04-22 20:43:50,2025-04-22,2025-04-23 02:43:50 UTC,America/Costa_Rica,210,210,,open,false,,,4379992,MMEdusA,2025-04-25 00:16:39 UTC,2025-05-03 02:18:37 UTC,research,,NA,2,false
Craugastor talamancae,2024-04-17 21:14:00 -0600,,"Kéköldi, Limón, Talamanca, Costa Rica",9.6379738419,-82.7986174448,,Almirante Robber Frog,https://www.inaturalist.org/observations/269023341,https://static.inaturalist.org/photos/483625217/medium.jpeg,sarafc,269023341,Craugastor talamancae,Amphibia,65304,1,0,2024/04/17 9:14 PM,2024-04-17,2024-04-18 03:14:00 UTC,America/Costa_Rica,1027,1027,,open,false,,,2785527,,2025-04-06 22:18:03 UTC,2025-04-06 23:12:04 UTC,research,,NA,NA,false
